Date,Min temp,Max temp,Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temp,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temp,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Rain Tomorrow
2020-11-21,14.0,22.3,0.0,SSE,30.0,23:29,20.3,67,8.0,SE,9,1023.4,20.6,72,8.0,ENE,17,1020.9,0
2020-11-22,17.4,26.4,0.0,SSE,35.0,16:04,20.7,73,8.0,ENE,11,1015.4,25.6,66,8.0,ENE,9,1010.5,0
2020-11-23,19.0,25.1,4.8,SSE,41.0,17:20,22.2,72,8.0,NW,11,1005.1,19.8,82,8.0,E,9,1001.9,1
2020-11-24,12.0,21.6,10.4,ESE,28.0,12:24,19.0,69,0.0,SE,6,1012.2,20.5,65,0.0,ESE,19,1011.3,1
2020-11-25,16.4,22.5,0.0,NNE,46.0,15:20,19.4,66,6.0,NE,15,1014.8,21.7,68,0.0,NE,33,1010.2,0
2020-11-26,15.2,24.7,0.0,S,48.0,14:49,22.1,73,0.0,E,9,1010.8,23.3,72,4.0,SE,26,1011.5,0
2020-11-27,16.3,33.9,0.0,NNE,37.0,13:19,20.2,61,1.0,NE,13,1018.1,22.0,66,0.0,NE,26,1012.6,0
2020-11-28,16.1,40.5,0.0,WNW,56.0,11:03,33.7,30,1.0,WNW,22,1005.0,38.3,21,0.0,WNW,15,1002.0,0
2020-11-29,19.2,36.2,1.8,NNW,74.0,08:14,32.8,32,0.0,NW,24,993.5,24.9,65,0.0,NE,19,999.4,1
2020-11-30,16.5,22.6,0.0,SSE,41.0,23:25,19.6,53,0.0,E,7,1018.4,20.1,64,8.0,NE,20,1016.2,0
2021-08-1,7.3,13.2,0.0,S,48.0,08:10,13.2,78,8.0,S,15,1007.1,10.3,92,8.0,S,9,1009.8,0
2021-08-2,0.6,16.0,6.4,NNE,35.0,15:16,7.1,95,0.0,WSW,4,1020.5,15.7,63,0.0,NE,22,1016.3,1
2021-08-3,7.1,19.4,0.0,WNW,35.0,12:18,14.7,57,0.0,NNW,15,1006.3,17.4,37,3.0,WNW,11,1004.8,0
2021-08-4,4.6,19.1,0.0,WSW,46.0,16:19,13.0,41,0.0,NW,13,1008.9,17.2,34,0.0,SSW,22,1009.0,0
2021-08-5,4.5,18.7,0.0,SW,37.0,10:53,13.4,55,0.0,WSW,7,1015.7,16.6,55,0.0,ENE,11,1015.3,0
2021-08-6,1.8,17.4,0.0,ENE,20.0,12:52,10.1,79,0.0,W,2,1020.9,16.3,63,0.0,ENE,13,1018.8,0
2021-08-7,5.5,15.8,0.0,SW,20.0,21:51,11.7,61,6.0,WNW,9,1024.7,15.3,59,0.0,ESE,13,1022.1,0
2021-08-8,5.3,15.8,0.2,SSE,28.0,10:31,12.3,78,8.0,WSW,11,1033.4,14.8,47,0.0,E,13,1031.9,0
2021-08-9,3.3,16.9,0.0,NE,28.0,13:09,8.6,95,8.0, ,Calm,1030.6,16.0,65,0.0,NE,19,1025.3,0
2021-08-10,4.0,22.2,0.2,NNW,37.0,13:15,11.1,83,0.0,SSW,4,1024.6,21.3,28,0.0,NNW,20,1020.1,0
2021-08-11,10.7,25.0,0.0,WNW,57.0,15:14,20.2,41,0.0,NNW,19,1019.5,24.4,31,0.0,NW,22,1013.7,0
2021-08-12,8.5,20.8,0.0,WNW,35.0,00:44,15.5,42,0.0,WNW,9,1023.3,17.0,62,0.0,NE,15,1022.8,0
2021-08-13,4.1,17.8,0.0,ESE,22.0,12:20,11.8,62,0.0,WSW,7,1026.9,16.2,58,0.0,E,11,1023.7,0
2021-08-14,2.7,17.5,0.0,ENE,26.0,13:52,11.1,65,0.0,WSW,4,1029.0,17.0,61,0.0,NE,17,1025.0,0
2021-08-15,1.3,18.7,0.0,NE,20.0,13:57,12.1,55,0.0,W,11,1024.4,16.5,52,0.0,NE,15,1020.0,0
2021-08-16,2.5,22.8,0.0,W,37.0,14:33,15.1,42,0.0,NW,15,1018.1,21.8,21,0.0,W,20,1014.1,0
2021-08-17,2.8,17.4,0.0,ESE,26.0,12:01,12.4,54,0.0,W,9,1021.4,15.9,47,0.0,ESE,11,1020.2,0
2021-08-18,3.2,16.2,0.0,NE,30.0,13:26,11.0,64,0.0,SW,6,1025.7,15.5,61,0.0,NE,19,1021.5,0
2021-08-19,2.6,17.0,0.0,SW,17.0,04:23,10.2,79,0.0,SW,7,1023.7,15.3,68,0.0,SE,11,1020.8,0
